type    natoms  setup   jmm     brute   microcells  adjcells    nlap    nlcells
serial  256     0.4     7.96    17.24   8.39        10.26       4.03    4.00
1       256     0.4     7.96    17.53   8.05        10.03       3.95    4.10 
2       256     0.4     7.96    9.42    5.03        6.21        2.77    2.79
4       256     0.4     7.96    5.64    3.23        3.73        2.14    2.13
serial  1024    7.2     43.12   260.38  43.70       56.35       24.61   24.28
1       1024    7.2     43.12   248.74  42.04       55.78       24.87   24.15
2       1024    7.2     43.12   128.66  27.27       32.65       17.30   17.22
4       1024    7.2     43.12   77.34   19.19       22.69       13.64   13.51
serial  4096    16.4    117.15  na      125.61      141.23      59.41   55.64
1       4096    16.4    117.15  na      125.57      136.77      56.96   55.04
2       4096    16.4    117.15  na      83.10       80.37       41.91   40.85
4       4096    16.4    117.15  na      57.94       54.37       33.18   32.31
